Pair_ID,Project_A_ID,Project_B_ID,Project_A_Title,Project_B_Title,Project_A_Abstract,Project_B_Abstract,Project_A_Features,Project_B_Features,Project_A_Keywords,Project_B_Keywords,SBERT_Similarity,TFIDF_Similarity,Cosine_Similarity,Faculty_Label,AI_Label,Similarity_Category,Reviewer_Name,Review_Date,Comments
SB0256,PRJ0119,PRJ0329,AST Graph Neural Network Code Plagiarism Detector,Source Code Structural Similarity Analyzer using Program Graphs (Variant 2),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A tool that converts programming assignments into Program Dependence Graphs to identify structural code clones across student submissions.,Tree-sitter; PyTorch Geometric; AST Parser,AST Parser; Graph Isomorphism Net; NetworkX,"ast, graph neural network, code plagiarism, tree-sitter","code similarity, program dependence graph, structural clone, gnn",0.924,0.805,0.901,Similar,Similar,Duplicate / Near-Duplicate,Dr. H. Mehta,2026-002-23,Very close algorithmic methodology and identical target domain.
SB0257,PRJ0120,PRJ0330,RFID Card Based Student Attendance System,Face Recognition Based Student Attendance System (Variant 2),Records student attendance at classroom entry using MFRC522 RFID cards and microcontroller logging.,An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,MFRC522 RFID; Arduino Uno; LCD Display,OpenCV; face_recognition; SQLite; Python,"rfid attendance, card reader, arduino, student log","face recognition, attendance, opencv, biometric",0.67,0.507,0.583,Partially Similar,Partially Similar,Same-Domain Variant,Prof. M. Reddy,2026-005-18,Shares the same domain objective (Attendance) but utilizes completely different hardware/software modalities (RFID vs Vision).
SB0258,PRJ0121,PRJ0331,IoT Smart Irrigation System using Soil Moisture Sensors,Plant Leaf Pathology Classifier using Mobile Vision (Variant 2),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Capacitive Soil Sensor; Arduino; Relay Pump,MobileNet; TensorFlow Lite; Flutter App,"smart irrigation, soil moisture, iot, arduino","plant disease, leaf classification, mobile cnn, agritech",0.599,0.428,0.521,Partially Similar,Partially Similar,Same-Domain Variant,Prof. G. Deshmukh,2026-001-27,"Both belong to Agriculture domain, but one is an IoT hardware control system and the other is a computer vision app."
SB0259,PRJ0122,PRJ0332,Chest X-Ray Pneumonia Classifier using CNN,AI Powered ECG Heart Disease Risk Predictor (Variant 2),Diagnoses pulmonary pneumonia from chest X-ray radiograph images using fine-tuned ResNet-50 models.,Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,ResNet-50; PyTorch; DICOM Imaging,Random Forest; SciPy Signal; Scikit-Learn; Flask,"pneumonia, chest x-ray, cnn, medical imaging","ecg risk, heart disease, cardiac prediction, ml",0.509,0.411,0.515,Partially Similar,Partially Similar,Same-Domain Variant,Dr. R. Kumar,2026-004-15,"Both are Healthcare AI diagnostic systems, but operate on different organs (Lungs vs Heart) and data modalities (Images vs Signals)."
SB0260,PRJ0123,PRJ0333,SQL Injection Web Application Firewall Prototype,Phishing URL Detector using Machine Learning (Variant 2),Intercepts incoming HTTP POST parameters to block SQL injection payloads using pattern matching rules.,Classifies browser URLs as legitimate or phishing sites using engineered domain features and XGBoost.,ModSecurity; Regex Rules; Nginx WAF,XGBoost; URL Lexical Features; Chrome Extension,"sql injection, waf, web security, payload filtering","phishing url, xgboost, security, browser extension",0.615,0.428,0.597,Partially Similar,Partially Similar,Same-Domain Variant,Dr. R. Kumar,2026-005-15,"Both are Cybersecurity projects, but one operates as an inline WAF server component while the other is a URL classifier extension."
SB0261,PRJ0124,PRJ0334,AI Powered ECG Heart Disease Risk Predictor,Plant Leaf Pathology Classifier using Mobile Vision (Variant 2),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Random Forest; SciPy Signal; Scikit-Learn; Flask,MobileNet; TensorFlow Lite; Flutter App,"ecg risk, heart disease, cardiac prediction, ml","plant disease, leaf classification, mobile cnn, agritech",0.164,0.098,0.116,Different,Different,Cross-Domain Distinct,Dr. H. Mehta,2026-005-16,Completely different domains (Human Healthcare vs Plant Agritech) and unrelated objectives.
SB0262,PRJ0125,PRJ0335,Face Recognition Based Student Attendance System,STM32 Smart Grid Energy Metering System (Variant 2),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A LoRa-enabled smart energy meter using STM32 microcontrollers to measure voltage sags and power harmonics.,OpenCV; face_recognition; SQLite; Python,STM32F4; ACS712; LoRaWAN; Grafana,"face recognition, attendance, opencv, biometric","smart grid, energy meter, stm32, lorawan",0.123,0.018,0.077,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-001-20,No conceptual overlap; Computer Vision software vs Power Electronics hardware.
SB0263,PRJ0126,PRJ0336,AST Graph Neural Network Code Plagiarism Detector,Submersible Industrial Water Quality Probe Buoy (Variant 2),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A floating solar-powered buoy equipped with RS485 pH and turbidity probes to monitor river chemical contamination.,Tree-sitter; PyTorch Geometric; AST Parser,ESP8266; RS485 Modbus; pH Sensor; Solar MPPT,"ast, graph neural network, code plagiarism, tree-sitter","water quality, ph probe, modbus rs485, solar buoy",0.076,0.019,0.017,Different,Different,Cross-Domain Distinct,Dr. R. Kumar,2026-002-11,Cross-domain distinct; NLP Code Analysis vs Environmental IoT Sensing.
SB0264,PRJ0127,PRJ0337,zk-SNARK Zero-Knowledge Academic Credential Registry,Autonomous Quadcopter Path Navigation Drone (Variant 2),Compiles Circom arithmetic circuits to verify university degree qualification without disclosing student grades.,A quadcopter drone running ArduPilot flight controllers for autonomous GPS waypoint obstacle avoidance navigation.,Circom; SnarkJS; Solidity; Ethers.js,Pixhawk 4; Jetson Nano; ROS2; MAVLink,"zk-snark, zero-knowledge proof, degree verification, solidity","quadcopter, flight controller, ros2, waypoint navigation",0.182,0.066,0.076,Different,Different,Cross-Domain Distinct,Prof. G. Deshmukh,2026-004-12,Completely distinct fields (Cryptographic Blockchain vs Aerial Robotics).
SB0265,PRJ0128,PRJ0338,vLLM Distributed Model Server with PagedAttention,RFID Solenoid Door Lock Access Control (Variant 2),Serves 70B parameter LLMs across GPU clusters using vLLM PagedAttention and INT4 quantization.,Unlocks lab doors when authorized MFRC522 13.56MHz RFID cards are scanned at an Arduino reader.,vLLM; Ray; PyTorch; CUDA; FastAPI,MFRC522 RFID; Arduino Uno; Relay Driver,"vllm, distributed llm, pagedattention, cuda","rfid lock, access control, arduino, relay",0.068,0.023,0.041,Different,Different,Cross-Domain Distinct,Dr. H. Mehta,2026-004-27,Unrelated architectures; Distributed GPU LLM Infrastructure vs Basic Microcontroller Door Hardware.
SB0266,PRJ0129,PRJ0339,Face Recognition Based Student Attendance System,Webcam Facial Recognition Automated Attendance Marker (Variant 3),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A real-time attendance marking system that detects and identifies student faces from a webcam video stream to update an attendance database.,OpenCV; face_recognition; SQLite; Python,OpenCV; MTCNN; Flask; PostgreSQL,"face recognition, attendance, opencv, biometric","facial attendance, webcam marker, opencv, flask",0.958,0.856,0.941,Similar,Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2026-005-16,Essentially the same project with minor framework variations; clear duplicate concept.
SB0267,PRJ0130,PRJ0340,AI Powered ECG Heart Disease Risk Predictor,Cardiac Arrhythmia Classification from ECG Signals using Machine Learning (Variant 3),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,A machine learning system that classifies ECG heart signals to identify cardiac arrhythmia anomalies in real time.,Random Forest; SciPy Signal; Scikit-Learn; Flask,1D-CNN; ECG Biosignals; PyTorch; FastAPI,"ecg risk, heart disease, cardiac prediction, ml","cardiac arrhythmia, ecg classification, signal processing, cnn",0.889,0.77,0.838,Similar,Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2026-004-26,High semantic overlap in biosignal processing and cardiac health objectives.
SB0268,PRJ0131,PRJ0341,IoT Smart Irrigation System using Soil Moisture Sensors,Automated Crop Irrigation Controller with ESP32 and Soil Sensors (Variant 3),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,An ESP32-based smart irrigation controller that activates water solenoid valves based on real-time soil moisture and weather inputs.,Capacitive Soil Sensor; Arduino; Relay Pump,ESP32; Soil Sensor; Relay Driver; MQTT,"smart irrigation, soil moisture, iot, arduino","automated irrigation, esp32, soil sensor, mqtt",0.908,0.824,0.889,Similar,Similar,Duplicate / Near-Duplicate,Prof. L. Fernandes,2026-005-27,Identical core problem statement and hardware architecture.
SB0269,PRJ0132,PRJ0342,Blockchain Based Decentralized Student Voting DApp,Ethereum Smart Contract Voting Platform for University Elections (Variant 3),Records university student council election votes immutably on an Ethereum blockchain to prevent tampering.,"A decentralized voting application using Solidity smart contracts to conduct secure, transparent student elections.",Ethereum; Solidity; Web3.js; React,Solidity; Hardhat; Ethers.js; Next.js,"blockchain voting, student elections, smart contract, ethereum","ethereum voting, dapp, solidity, election security",0.925,0.859,0.932,Similar,Similar,Duplicate / Near-Duplicate,Dr. H. Mehta,2026-001-17,Near-duplicate concept; core smart contract logic and objective match.
SB0270,PRJ0133,PRJ0343,AST Graph Neural Network Code Plagiarism Detector,Source Code Structural Similarity Analyzer using Program Graphs (Variant 3),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A tool that converts programming assignments into Program Dependence Graphs to identify structural code clones across student submissions.,Tree-sitter; PyTorch Geometric; AST Parser,AST Parser; Graph Isomorphism Net; NetworkX,"ast, graph neural network, code plagiarism, tree-sitter","code similarity, program dependence graph, structural clone, gnn",0.928,0.795,0.873,Similar,Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2026-002-18,Very close algorithmic methodology and identical target domain.
SB0271,PRJ0134,PRJ0344,RFID Card Based Student Attendance System,Face Recognition Based Student Attendance System (Variant 3),Records student attendance at classroom entry using MFRC522 RFID cards and microcontroller logging.,An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,MFRC522 RFID; Arduino Uno; LCD Display,OpenCV; face_recognition; SQLite; Python,"rfid attendance, card reader, arduino, student log","face recognition, attendance, opencv, biometric",0.627,0.483,0.606,Partially Similar,Partially Similar,Same-Domain Variant,Prof. T. Joseph,2026-005-25,Shares the same domain objective (Attendance) but utilizes completely different hardware/software modalities (RFID vs Vision).
SB0272,PRJ0135,PRJ0345,IoT Smart Irrigation System using Soil Moisture Sensors,Plant Leaf Pathology Classifier using Mobile Vision (Variant 3),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Capacitive Soil Sensor; Arduino; Relay Pump,MobileNet; TensorFlow Lite; Flutter App,"smart irrigation, soil moisture, iot, arduino","plant disease, leaf classification, mobile cnn, agritech",0.575,0.407,0.553,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-001-23,"Both belong to Agriculture domain, but one is an IoT hardware control system and the other is a computer vision app."
SB0273,PRJ0136,PRJ0346,Chest X-Ray Pneumonia Classifier using CNN,AI Powered ECG Heart Disease Risk Predictor (Variant 3),Diagnoses pulmonary pneumonia from chest X-ray radiograph images using fine-tuned ResNet-50 models.,Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,ResNet-50; PyTorch; DICOM Imaging,Random Forest; SciPy Signal; Scikit-Learn; Flask,"pneumonia, chest x-ray, cnn, medical imaging","ecg risk, heart disease, cardiac prediction, ml",0.486,0.398,0.51,Partially Similar,Partially Similar,Same-Domain Variant,Prof. L. Fernandes,2026-006-13,"Both are Healthcare AI diagnostic systems, but operate on different organs (Lungs vs Heart) and data modalities (Images vs Signals)."
SB0274,PRJ0137,PRJ0347,SQL Injection Web Application Firewall Prototype,Phishing URL Detector using Machine Learning (Variant 3),Intercepts incoming HTTP POST parameters to block SQL injection payloads using pattern matching rules.,Classifies browser URLs as legitimate or phishing sites using engineered domain features and XGBoost.,ModSecurity; Regex Rules; Nginx WAF,XGBoost; URL Lexical Features; Chrome Extension,"sql injection, waf, web security, payload filtering","phishing url, xgboost, security, browser extension",0.596,0.449,0.584,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-002-16,"Both are Cybersecurity projects, but one operates as an inline WAF server component while the other is a URL classifier extension."
SB0275,PRJ0138,PRJ0348,AI Powered ECG Heart Disease Risk Predictor,Plant Leaf Pathology Classifier using Mobile Vision (Variant 3),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Random Forest; SciPy Signal; Scikit-Learn; Flask,MobileNet; TensorFlow Lite; Flutter App,"ecg risk, heart disease, cardiac prediction, ml","plant disease, leaf classification, mobile cnn, agritech",0.207,0.057,0.132,Different,Different,Cross-Domain Distinct,Dr. R. Kumar,2026-004-17,Completely different domains (Human Healthcare vs Plant Agritech) and unrelated objectives.
SB0276,PRJ0139,PRJ0349,Face Recognition Based Student Attendance System,STM32 Smart Grid Energy Metering System (Variant 3),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A LoRa-enabled smart energy meter using STM32 microcontrollers to measure voltage sags and power harmonics.,OpenCV; face_recognition; SQLite; Python,STM32F4; ACS712; LoRaWAN; Grafana,"face recognition, attendance, opencv, biometric","smart grid, energy meter, stm32, lorawan",0.133,0.043,0.056,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-001-11,No conceptual overlap; Computer Vision software vs Power Electronics hardware.
SB0277,PRJ0140,PRJ0350,AST Graph Neural Network Code Plagiarism Detector,Submersible Industrial Water Quality Probe Buoy (Variant 3),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A floating solar-powered buoy equipped with RS485 pH and turbidity probes to monitor river chemical contamination.,Tree-sitter; PyTorch Geometric; AST Parser,ESP8266; RS485 Modbus; pH Sensor; Solar MPPT,"ast, graph neural network, code plagiarism, tree-sitter","water quality, ph probe, modbus rs485, solar buoy",0.086,0.014,0.064,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2026-002-15,Cross-domain distinct; NLP Code Analysis vs Environmental IoT Sensing.
SB0278,PRJ0141,PRJ0351,zk-SNARK Zero-Knowledge Academic Credential Registry,Autonomous Quadcopter Path Navigation Drone (Variant 3),Compiles Circom arithmetic circuits to verify university degree qualification without disclosing student grades.,A quadcopter drone running ArduPilot flight controllers for autonomous GPS waypoint obstacle avoidance navigation.,Circom; SnarkJS; Solidity; Ethers.js,Pixhawk 4; Jetson Nano; ROS2; MAVLink,"zk-snark, zero-knowledge proof, degree verification, solidity","quadcopter, flight controller, ros2, waypoint navigation",0.123,0.057,0.124,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2026-002-22,Completely distinct fields (Cryptographic Blockchain vs Aerial Robotics).
SB0279,PRJ0142,PRJ0352,vLLM Distributed Model Server with PagedAttention,RFID Solenoid Door Lock Access Control (Variant 3),Serves 70B parameter LLMs across GPU clusters using vLLM PagedAttention and INT4 quantization.,Unlocks lab doors when authorized MFRC522 13.56MHz RFID cards are scanned at an Arduino reader.,vLLM; Ray; PyTorch; CUDA; FastAPI,MFRC522 RFID; Arduino Uno; Relay Driver,"vllm, distributed llm, pagedattention, cuda","rfid lock, access control, arduino, relay",0.1,0.035,0.052,Different,Different,Cross-Domain Distinct,Prof. M. Reddy,2026-003-23,Unrelated architectures; Distributed GPU LLM Infrastructure vs Basic Microcontroller Door Hardware.
SB0280,PRJ0143,PRJ0353,Face Recognition Based Student Attendance System,Webcam Facial Recognition Automated Attendance Marker (Variant 4),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A real-time attendance marking system that detects and identifies student faces from a webcam video stream to update an attendance database.,OpenCV; face_recognition; SQLite; Python,OpenCV; MTCNN; Flask; PostgreSQL,"face recognition, attendance, opencv, biometric","facial attendance, webcam marker, opencv, flask",0.924,0.85,0.959,Similar,Similar,Duplicate / Near-Duplicate,Dr. H. Mehta,2026-006-25,Essentially the same project with minor framework variations; clear duplicate concept.
SB0281,PRJ0144,PRJ0354,AI Powered ECG Heart Disease Risk Predictor,Cardiac Arrhythmia Classification from ECG Signals using Machine Learning (Variant 4),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,A machine learning system that classifies ECG heart signals to identify cardiac arrhythmia anomalies in real time.,Random Forest; SciPy Signal; Scikit-Learn; Flask,1D-CNN; ECG Biosignals; PyTorch; FastAPI,"ecg risk, heart disease, cardiac prediction, ml","cardiac arrhythmia, ecg classification, signal processing, cnn",0.866,0.774,0.837,Similar,Similar,Duplicate / Near-Duplicate,Prof. T. Joseph,2026-006-27,High semantic overlap in biosignal processing and cardiac health objectives.
SB0282,PRJ0145,PRJ0355,IoT Smart Irrigation System using Soil Moisture Sensors,Automated Crop Irrigation Controller with ESP32 and Soil Sensors (Variant 4),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,An ESP32-based smart irrigation controller that activates water solenoid valves based on real-time soil moisture and weather inputs.,Capacitive Soil Sensor; Arduino; Relay Pump,ESP32; Soil Sensor; Relay Driver; MQTT,"smart irrigation, soil moisture, iot, arduino","automated irrigation, esp32, soil sensor, mqtt",0.903,0.869,0.89,Similar,Similar,Duplicate / Near-Duplicate,Prof. M. Reddy,2026-005-26,Identical core problem statement and hardware architecture.
SB0283,PRJ0146,PRJ0356,Blockchain Based Decentralized Student Voting DApp,Ethereum Smart Contract Voting Platform for University Elections (Variant 4),Records university student council election votes immutably on an Ethereum blockchain to prevent tampering.,"A decentralized voting application using Solidity smart contracts to conduct secure, transparent student elections.",Ethereum; Solidity; Web3.js; React,Solidity; Hardhat; Ethers.js; Next.js,"blockchain voting, student elections, smart contract, ethereum","ethereum voting, dapp, solidity, election security",0.962,0.871,0.919,Similar,Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2026-001-12,Near-duplicate concept; core smart contract logic and objective match.
SB0284,PRJ0147,PRJ0357,AST Graph Neural Network Code Plagiarism Detector,Source Code Structural Similarity Analyzer using Program Graphs (Variant 4),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A tool that converts programming assignments into Program Dependence Graphs to identify structural code clones across student submissions.,Tree-sitter; PyTorch Geometric; AST Parser,AST Parser; Graph Isomorphism Net; NetworkX,"ast, graph neural network, code plagiarism, tree-sitter","code similarity, program dependence graph, structural clone, gnn",0.924,0.819,0.89,Similar,Similar,Duplicate / Near-Duplicate,Prof. T. Joseph,2026-002-28,Very close algorithmic methodology and identical target domain.
SB0285,PRJ0148,PRJ0358,RFID Card Based Student Attendance System,Face Recognition Based Student Attendance System (Variant 4),Records student attendance at classroom entry using MFRC522 RFID cards and microcontroller logging.,An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,MFRC522 RFID; Arduino Uno; LCD Display,OpenCV; face_recognition; SQLite; Python,"rfid attendance, card reader, arduino, student log","face recognition, attendance, opencv, biometric",0.631,0.471,0.622,Partially Similar,Partially Similar,Same-Domain Variant,Prof. T. Joseph,2026-005-26,Shares the same domain objective (Attendance) but utilizes completely different hardware/software modalities (RFID vs Vision).
SB0286,PRJ0149,PRJ0359,IoT Smart Irrigation System using Soil Moisture Sensors,Plant Leaf Pathology Classifier using Mobile Vision (Variant 4),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Capacitive Soil Sensor; Arduino; Relay Pump,MobileNet; TensorFlow Lite; Flutter App,"smart irrigation, soil moisture, iot, arduino","plant disease, leaf classification, mobile cnn, agritech",0.578,0.422,0.519,Partially Similar,Partially Similar,Same-Domain Variant,Dr. N. Krishnan,2026-002-18,"Both belong to Agriculture domain, but one is an IoT hardware control system and the other is a computer vision app."
SB0287,PRJ0150,PRJ0360,Chest X-Ray Pneumonia Classifier using CNN,AI Powered ECG Heart Disease Risk Predictor (Variant 4),Diagnoses pulmonary pneumonia from chest X-ray radiograph images using fine-tuned ResNet-50 models.,Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,ResNet-50; PyTorch; DICOM Imaging,Random Forest; SciPy Signal; Scikit-Learn; Flask,"pneumonia, chest x-ray, cnn, medical imaging","ecg risk, heart disease, cardiac prediction, ml",0.509,0.414,0.522,Partially Similar,Partially Similar,Same-Domain Variant,Dr. N. Krishnan,2026-001-10,"Both are Healthcare AI diagnostic systems, but operate on different organs (Lungs vs Heart) and data modalities (Images vs Signals)."
SB0288,PRJ0151,PRJ0361,SQL Injection Web Application Firewall Prototype,Phishing URL Detector using Machine Learning (Variant 4),Intercepts incoming HTTP POST parameters to block SQL injection payloads using pattern matching rules.,Classifies browser URLs as legitimate or phishing sites using engineered domain features and XGBoost.,ModSecurity; Regex Rules; Nginx WAF,XGBoost; URL Lexical Features; Chrome Extension,"sql injection, waf, web security, payload filtering","phishing url, xgboost, security, browser extension",0.615,0.43,0.58,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2026-005-16,"Both are Cybersecurity projects, but one operates as an inline WAF server component while the other is a URL classifier extension."
SB0289,PRJ0152,PRJ0362,AI Powered ECG Heart Disease Risk Predictor,Plant Leaf Pathology Classifier using Mobile Vision (Variant 4),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,Classifies plant leaf images into healthy or diseased categories using a MobileNet convolutional neural network.,Random Forest; SciPy Signal; Scikit-Learn; Flask,MobileNet; TensorFlow Lite; Flutter App,"ecg risk, heart disease, cardiac prediction, ml","plant disease, leaf classification, mobile cnn, agritech",0.172,0.078,0.117,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2026-002-21,Completely different domains (Human Healthcare vs Plant Agritech) and unrelated objectives.
SB0290,PRJ0153,PRJ0363,Face Recognition Based Student Attendance System,STM32 Smart Grid Energy Metering System (Variant 4),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A LoRa-enabled smart energy meter using STM32 microcontrollers to measure voltage sags and power harmonics.,OpenCV; face_recognition; SQLite; Python,STM32F4; ACS712; LoRaWAN; Grafana,"face recognition, attendance, opencv, biometric","smart grid, energy meter, stm32, lorawan",0.094,0.06,0.073,Different,Different,Cross-Domain Distinct,Dr. R. Kumar,2026-005-26,No conceptual overlap; Computer Vision software vs Power Electronics hardware.
SB0291,PRJ0154,PRJ0364,AST Graph Neural Network Code Plagiarism Detector,Submersible Industrial Water Quality Probe Buoy (Variant 4),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A floating solar-powered buoy equipped with RS485 pH and turbidity probes to monitor river chemical contamination.,Tree-sitter; PyTorch Geometric; AST Parser,ESP8266; RS485 Modbus; pH Sensor; Solar MPPT,"ast, graph neural network, code plagiarism, tree-sitter","water quality, ph probe, modbus rs485, solar buoy",0.078,0.038,0.057,Different,Different,Cross-Domain Distinct,Dr. H. Mehta,2026-001-14,Cross-domain distinct; NLP Code Analysis vs Environmental IoT Sensing.
SB0292,PRJ0155,PRJ0365,zk-SNARK Zero-Knowledge Academic Credential Registry,Autonomous Quadcopter Path Navigation Drone (Variant 4),Compiles Circom arithmetic circuits to verify university degree qualification without disclosing student grades.,A quadcopter drone running ArduPilot flight controllers for autonomous GPS waypoint obstacle avoidance navigation.,Circom; SnarkJS; Solidity; Ethers.js,Pixhawk 4; Jetson Nano; ROS2; MAVLink,"zk-snark, zero-knowledge proof, degree verification, solidity","quadcopter, flight controller, ros2, waypoint navigation",0.159,0.077,0.08,Different,Different,Cross-Domain Distinct,Dr. A. Sharma,2026-003-19,Completely distinct fields (Cryptographic Blockchain vs Aerial Robotics).
SB0293,PRJ0156,PRJ0366,vLLM Distributed Model Server with PagedAttention,RFID Solenoid Door Lock Access Control (Variant 4),Serves 70B parameter LLMs across GPU clusters using vLLM PagedAttention and INT4 quantization.,Unlocks lab doors when authorized MFRC522 13.56MHz RFID cards are scanned at an Arduino reader.,vLLM; Ray; PyTorch; CUDA; FastAPI,MFRC522 RFID; Arduino Uno; Relay Driver,"vllm, distributed llm, pagedattention, cuda","rfid lock, access control, arduino, relay",0.087,0.045,0.056,Different,Different,Cross-Domain Distinct,Dr. H. Mehta,2026-003-26,Unrelated architectures; Distributed GPU LLM Infrastructure vs Basic Microcontroller Door Hardware.
SB0294,PRJ0157,PRJ0367,Face Recognition Based Student Attendance System,Webcam Facial Recognition Automated Attendance Marker (Variant 5),An automated classroom attendance system using OpenCV and deep face recognition models to mark student attendance from camera feeds.,A real-time attendance marking system that detects and identifies student faces from a webcam video stream to update an attendance database.,OpenCV; face_recognition; SQLite; Python,OpenCV; MTCNN; Flask; PostgreSQL,"face recognition, attendance, opencv, biometric","facial attendance, webcam marker, opencv, flask",0.965,0.835,0.921,Similar,Similar,Duplicate / Near-Duplicate,Dr. V. Nair,2026-006-23,Essentially the same project with minor framework variations; clear duplicate concept.
SB0295,PRJ0158,PRJ0368,AI Powered ECG Heart Disease Risk Predictor,Cardiac Arrhythmia Classification from ECG Signals using Machine Learning (Variant 5),Predicts cardiovascular disease risks by analyzing single-lead ECG signal waveforms using Random Forest classifiers.,A machine learning system that classifies ECG heart signals to identify cardiac arrhythmia anomalies in real time.,Random Forest; SciPy Signal; Scikit-Learn; Flask,1D-CNN; ECG Biosignals; PyTorch; FastAPI,"ecg risk, heart disease, cardiac prediction, ml","cardiac arrhythmia, ecg classification, signal processing, cnn",0.872,0.782,0.876,Similar,Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2026-006-18,High semantic overlap in biosignal processing and cardiac health objectives.
SB0296,PRJ0159,PRJ0369,IoT Smart Irrigation System using Soil Moisture Sensors,Automated Crop Irrigation Controller with ESP32 and Soil Sensors (Variant 5),Automates agricultural watering when capacitive soil moisture sensors drop below pre-set thresholds.,An ESP32-based smart irrigation controller that activates water solenoid valves based on real-time soil moisture and weather inputs.,Capacitive Soil Sensor; Arduino; Relay Pump,ESP32; Soil Sensor; Relay Driver; MQTT,"smart irrigation, soil moisture, iot, arduino","automated irrigation, esp32, soil sensor, mqtt",0.899,0.864,0.939,Similar,Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2026-001-13,Identical core problem statement and hardware architecture.
SB0297,PRJ0160,PRJ0370,Blockchain Based Decentralized Student Voting DApp,Ethereum Smart Contract Voting Platform for University Elections (Variant 5),Records university student council election votes immutably on an Ethereum blockchain to prevent tampering.,"A decentralized voting application using Solidity smart contracts to conduct secure, transparent student elections.",Ethereum; Solidity; Web3.js; React,Solidity; Hardhat; Ethers.js; Next.js,"blockchain voting, student elections, smart contract, ethereum","ethereum voting, dapp, solidity, election security",0.956,0.866,0.92,Similar,Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2026-001-21,Near-duplicate concept; core smart contract logic and objective match.
SB0298,PRJ0161,PRJ0371,AST Graph Neural Network Code Plagiarism Detector,Source Code Structural Similarity Analyzer using Program Graphs (Variant 5),Parses source code into Abstract Syntax Trees (AST) and trains Graph Neural Networks to detect obfuscated student code plagiarism.,A tool that converts programming assignments into Program Dependence Graphs to identify structural code clones across student submissions.,Tree-sitter; PyTorch Geometric; AST Parser,AST Parser; Graph Isomorphism Net; NetworkX,"ast, graph neural network, code plagiarism, tree-sitter","code similarity, program dependence graph, structural clone, gnn",0.942,0.795,0.88,Similar,Similar,Duplicate / Near-Duplicate,Dr. R. Kumar,2026-003-11,Very close algorithmic methodology and identical target domain.
