Taxonomy_ID,Domain,Sub_Domain,Topic,Parent_Topic,Description,Common_Keywords,Related_Keywords,Technologies,Algorithms,Programming_Languages,Frameworks,Libraries,Hardware,Typical_Datasets,Research_Areas,Application_Areas,Difficulty_Level,Industry,Emerging_Topic,Trend_Level,Related_Domains,Source,Notes
AE-0089,Cyber Security,Cloud Security,Zero Trust Architecture,Cloud Security,Security model that verifies every user and device before granting resource access.,"zero trust,microsegmentation,identity,least privilege,continuous verification","ZTNA,BeyondCorp,SASE,conditional access,device trust,CASB",Python,"Policy Engine,Risk-based Access Control",Python,,,,Cloud security audit datasets,"Zero Trust for OT,AI-driven Zero Trust,Zero Trust in Multi-cloud","Enterprise,Government,Healthcare Cloud",Advanced,"Security,Finance,Healthcare",Yes,High,"Cloud Computing,Identity Management",AcadEval Research Team,
AE-0090,Blockchain,Smart Contracts,Ethereum Smart Contracts,Smart Contracts,Self-executing contracts coded on blockchain with automated enforcement.,"smart contract,Solidity,EVM,Ethereum,gas,ABI,deployment","Remix,Hardhat,Truffle,DeFi,NFT,ERC-20,ERC-721","Solidity, JavaScript","Formal Verification,Symbolic Execution","Solidity,JavaScript,Python","Hardhat,Truffle","web3.py, ethers.js",,"Ethereum Mainnet Data,Kaggle Smart Contract Datasets","Smart Contract Vulnerability Detection,Layer-2 Contracts","DeFi Protocols,NFT Marketplaces,DAO,Supply Chain",Intermediate,"Finance,Tech,Legal",Yes,High,"FinTech,Cyber Security",AcadEval Research Team,
AE-0091,Blockchain,Consensus Mechanisms,Proof of Stake,Consensus Mechanisms,Energy-efficient blockchain consensus where validators stake cryptocurrency.,"proof of stake,PoS,validator,staking,slashing,finality","delegated PoS,Casper,Tendermint,PoA,sharding","Python, Go, Rust","Casper FFG,Tendermint BFT,Gasper","Python,Go,Rust","Ethereum 2.0,Cosmos SDK","eth2.0-specs, py-evm",,"Ethereum Beacon Chain,Cosmos Datasets","Validator Economics,Staking Attacks,Energy Comparison","Cryptocurrency,Enterprise Blockchain,DeFi",Advanced,"Finance,Tech",Yes,High,"Distributed Systems,Networking",AcadEval Research Team,
AE-0092,Blockchain,Decentralized Finance,DeFi Protocols,Decentralized Finance,Blockchain-based financial applications replacing traditional intermediaries.,"DeFi,liquidity pool,AMM,yield farming,lending,DEX,TVL","flash loan,impermanent loss,collateral,governance token,protocol","Solidity, Python","AMM Pricing,Flash Loan Arbitrage,Liquidation","Solidity,Python","Hardhat,Foundry","web3.py, pandas",,"DeFi Pulse,The Graph,Ethereum DeFi transaction history","MEV,Rug Pull Detection,DeFi Risk Modeling","Lending,Trading,Insurance,Derivatives",Advanced,Finance,Yes,High,"FinTech,Cyber Security",AcadEval Research Team,
AE-0093,Blockchain,Supply Chain Blockchain,Provenance Tracking,Supply Chain Blockchain,Using blockchain to track product origin and journey through supply chains.,"provenance,traceability,supply chain,transparency,QR code,ledger","food safety,counterfeiting,cold chain,multi-party,IoT integration","Solidity, Python","Hash Chain,Merkle Tree,Consensus","Solidity,Python","Hyperledger Fabric,Ethereum","web3.py, pandas","IoT Sensors,RFID",Supply chain transaction datasets,"IoT-Blockchain Integration,Cross-chain Interoperability","Food Industry,Pharmaceuticals,Luxury Goods,Logistics",Intermediate,"Supply Chain,Food,Healthcare",Yes,High,"IoT,Supply Chain,Healthcare",AcadEval Research Team,
AE-0094,Blockchain,NFT and Digital Assets,NFT Marketplaces,NFT and Digital Assets,Non-fungible tokens representing unique digital ownership on blockchain.,"NFT,ERC-721,ERC-1155,metadata,IPFS,OpenSea,minting,royalties","digital art,gaming assets,tokenization,smart contract,marketplace","Solidity, JavaScript","Token Standards,Auction Mechanisms","Solidity,JavaScript",Hardhat,"ethers.js, ipfs-http-client",,"OpenSea NFT Transaction Data,Ethereum NFT Datasets","NFT Valuation,Wash Trading Detection,Cross-chain NFT","Digital Art,Gaming,Music,Real Estate Tokenization",Intermediate,"Media,Gaming,Finance",No,Medium,"FinTech,E-Commerce,Media",AcadEval Research Team,
AE-0095,Blockchain,Blockchain Privacy,Zero-Knowledge Proofs,Blockchain Privacy,Cryptographic protocols enabling one party to prove knowledge without revealing it.,"zero-knowledge proof,ZKP,zk-SNARK,zk-STARK,Groth16,privacy","Circom,Pedersen commitment,Merkel tree,recursive proof,rollup","Rust, Python","Groth16,PLONK,STARKs,zk-Rollup","Rust,Python","bellman,circom","py_ecc, snarkjs",,ZK benchmark circuits,"Private DeFi,Private Voting,Identity Privacy","Finance,Healthcare,Government,Voting Systems",Expert,"Finance,Government",Yes,High,"Cryptography,Cyber Security",AcadEval Research Team,
AE-0096,Cloud Computing,Containerization,Docker and Kubernetes,Containerization,Packaging and orchestrating applications in lightweight containers.,"Docker,Kubernetes,container,pod,orchestration,microservice,k8s","Helm,service mesh,Istio,namespace,deployment,replica set","YAML, Python, Go","Bin Packing,Resource Scheduling,Auto-scaling","Python,Go,YAML","Kubernetes,Helm","kubectl, docker-compose",Cloud VM,"Alibaba Cluster Trace,Google Cluster Workload Traces","Serverless Containers,Multi-cluster Management,FinOps","SaaS Deployment,MLOps,Web Services,Batch Processing",Intermediate,"Tech,Cross-Industry",No,High,"Software Engineering,DevOps",AcadEval Research Team,
AE-0097,Cloud Computing,Serverless Computing,Function as a Service,Serverless Computing,Event-driven computing model where code executes without managing servers.,"serverless,FaaS,AWS Lambda,cold start,event trigger,stateless","function,event-driven,scaling,billing,API Gateway,step functions","Python, JavaScript, Go","Cold Start Optimization,Auto-scaling Algorithms","Python,JavaScript,Go","AWS Lambda,Azure Functions,Google Cloud Functions",boto3,Cloud,Azure Function execution trace datasets,"Cold Start Mitigation,Stateful Serverless,Edge Serverless","API Backends,IoT Event Processing,Data Pipelines,Chatbots",Intermediate,Tech,Yes,High,"Software Engineering,IoT",AcadEval Research Team,
AE-0098,Cloud Computing,MLOps,ML Pipeline Orchestration,MLOps,Automating end-to-end ML pipelines from data ingestion to deployment.,"MLOps,pipeline,CI/CD,model registry,feature store,monitoring","data versioning,model drift,A/B testing,canary deployment,retraining",Python,"Automated Retraining,Canary Testing,Shadow Deployment",Python,"MLflow,Kubeflow,ZenML","mlflow, dvc, great-expectations",Cloud GPU,ML system benchmarks,"Model Monitoring,Data Quality,Continuous Training","AI Products,Enterprise ML,Research Deployment",Intermediate,"Tech,Cross-Industry",Yes,High,"Machine Learning,Software Engineering",AcadEval Research Team,
AE-0099,Cloud Computing,Cloud Storage,Distributed Storage Systems,Cloud Storage,"Scalable, fault-tolerant storage systems for large-scale data management.","distributed storage,S3,HDFS,object storage,replication,consistency","CAP theorem,eventual consistency,erasure coding,deduplication","Java, Python, Go","Erasure Coding,Consistent Hashing,Raft Consensus","Java,Python,Go","Apache Cassandra,MinIO","boto3, hdfs3",Cloud Server,"TPC-H,TPC-DS,storage benchmark datasets","Data Locality,Cold Storage Optimization,Tiered Storage","Data Lakes,Backup,Media Storage,Scientific Data",Advanced,"Tech,Research,Media",No,Medium,"Big Data,Networking",AcadEval Research Team,
AE-0100,Cloud Computing,Cloud Security,Identity and Access Management,Cloud Security,Controlling user and service access to cloud resources securely.,"IAM,RBAC,ABAC,policy,permission,role,zero trust,access control","federation,SSO,OAuth,OIDC,JWT,audit log,privilege escalation","Python, JSON","RBAC Policy Enforcement,Anomaly-based Access Control",Python,"AWS IAM,Azure AD","boto3, msal",Cloud,IAM audit log datasets,"Zero Trust Architecture,Privilege Access Management,Cloud Misconfigurations","Enterprise Cloud,Government,Healthcare Cloud",Intermediate,"Security,Finance,Healthcare",Yes,High,"Cyber Security,Software Engineering",AcadEval Research Team,
AE-0101,Cloud Computing,Cloud Cost Optimization,FinOps,Cloud Cost Optimization,Optimizing cloud resource spending through financial operations practices.,"FinOps,cloud cost,rightsizing,spot instance,reserved instance,waste","cost allocation,showback,chargeback,cloud economics,resource tagging",Python,"Cost Forecasting,Anomaly Detection for Cost,Scheduling Optimization",Python,,"boto3, azure-cost-management",Cloud,"Cloud cost datasets,AWS Cost and Usage Reports","AI-driven Cost Optimization,Sustainable Cloud","Enterprise,Startup,SaaS",Intermediate,"Tech,Finance",Yes,High,"Business Analytics,Software Engineering",AcadEval Research Team,
AE-0102,Big Data,Batch Processing,Apache Spark,Batch Processing,Large-scale distributed data processing using Apache Spark's in-memory engine.,"Spark,RDD,DataFrame,batch,distributed,MapReduce,HDFS,cluster","DAG,executor,driver,shuffle,partitioning,Apache Hive,PySpark","Python, Scala, Java","MapReduce,In-memory Aggregation,Broadcast Join","Python,Scala,Java",Apache Spark,"pyspark, delta-spark",Cluster,"TPC-DS,NYC Taxi,Wikimedia Clickstream","Adaptive Query Execution,GPU-accelerated Spark,Lakehouse","Data Warehousing,ETL,Log Analysis,Financial Analytics",Intermediate,"Tech,Finance,Logistics",No,High,"Data Science,Cloud Computing",AcadEval Research Team,
AE-0103,Big Data,Stream Processing,Apache Kafka,Stream Processing,Real-time event streaming platform for high-throughput data pipelines.,"Kafka,stream,producer,consumer,topic,partition,offset,event","Kafka Streams,schema registry,KSQL,Flink,consumer group","Java, Python, Scala","Log-structured Storage,Pub-Sub,Event Sourcing","Java,Python,Scala","Apache Kafka,Apache Flink","kafka-python, faust",Cluster,"Kafka benchmark datasets,stock tick data","Exactly-once Semantics,Multi-region Kafka,Stream Analytics","Real-time Analytics,IoT Pipelines,Financial Trading,Log Aggregation",Intermediate,"Finance,Tech,Telecom",No,High,"IoT,Cloud Computing,Data Science",AcadEval Research Team,
AE-0104,Big Data,Data Warehousing,OLAP and Data Cubes,Data Warehousing,Multi-dimensional analytical query processing for business intelligence.,"OLAP,data cube,star schema,snowflake schema,dimension,fact table","rollup,drill-down,slice-dice,MDX,columnar storage,BI","SQL, Python","Aggregation,Cube Computation,Bitmap Indexing","SQL,Python","Snowflake,BigQuery,Redshift","pyodbc, sqlalchemy",Cloud,"TPC-H,TPC-DS,Adventure Works","Real-time OLAP,Federated Query Processing,Lakehouse Architecture","Business Intelligence,Financial Reporting,Retail Analytics",Intermediate,"Finance,Retail,Healthcare",No,Medium,"Business Analytics,Data Science",AcadEval Research Team,
AE-0105,Big Data,NoSQL Databases,Graph Databases,NoSQL Databases,Database systems storing data as graphs for complex relationship queries.,"graph database,Neo4j,nodes,edges,Cypher,property graph","graph traversal,shortest path,network analysis,knowledge graph,SPARQL","Python, Java","Graph Traversal,BFS,DFS,PageRank","Python,Java","Neo4j,Amazon Neptune","py2neo, neo4j-driver",,"SNAP Datasets,knowledge graph benchmarks","Scalable Graph Processing,Graph ML Integration","Fraud Detection,Social Networks,Recommendation,Knowledge Graphs",Intermediate,"Finance,Tech,Healthcare",Yes,High,"Data Science,Machine Learning",AcadEval Research Team,
AE-0106,Big Data,Data Lake,Lakehouse Architecture,Data Lake,Unified storage and analytics platform combining data lake and warehouse features.,"lakehouse,Delta Lake,Apache Iceberg,Hudi,data lake,ACID transactions","schema evolution,time travel,merge-on-read,copy-on-write","Python, Scala","ACID Transaction Management,Schema Evolution","Python,Scala","Delta Lake,Apache Iceberg","pyspark, deltalake",Cloud,"TPC-DS adapted for lakehouse,open datasets","Open Table Formats,Streaming Lakehouse,Governance in Lakehouse","Data Engineering,Analytics,ML Feature Stores",Intermediate,"Tech,Finance,Retail",Yes,High,"Cloud Computing,Data Science,Machine Learning",AcadEval Research Team,
AE-0107,Data Science,Exploratory Data Analysis,Statistical Analysis,EDA,Investigating datasets using statistical and visual methods to discover patterns.,"EDA,statistics,distribution,correlation,outlier,descriptive statistics","mean,variance,skewness,kurtosis,normality test,hypothesis test","Python, R","T-test,ANOVA,Chi-squared,Kolmogorov-Smirnov","Python,R",Jupyter Notebook,"pandas, scipy, seaborn, matplotlib, statsmodels",,"UCI Repository,Kaggle Datasets","Automated EDA,High-dimensional Analysis","Healthcare Research,Marketing,Finance,Social Science",Beginner,Cross-Industry,No,High,"Machine Learning,Business Analytics",AcadEval Research Team,
AE-0108,Data Science,Feature Engineering,Feature Selection,Feature Engineering,Selecting the most informative features to improve model performance.,"feature selection,filter,wrapper,embedded,mutual information,LASSO","RFE,SHAP feature importance,correlation filtering,PCA","Python, R","Mutual Information,LASSO,RFE,Boruta,SHAP","Python,R",scikit-learn,"scikit-learn, shap, boruta-py",,UCI Repository tabular datasets,"Automated Feature Engineering,Deep Feature Synthesis","Medical Prediction,Financial Modeling,Fraud Detection",Intermediate,Cross-Industry,No,High,"Machine Learning,Business Analytics",AcadEval Research Team,
AE-0109,Data Science,Data Visualization,Interactive Dashboards,Data Visualization,Creating interactive charts and dashboards for data exploration and storytelling.,"dashboard,visualization,Plotly,Power BI,Tableau,D3.js,chart","KPI,drill-down,filter,heatmap,scatter plot,time series","Python, JavaScript","Layout Optimization,Responsive Rendering","Python,JavaScript","Dash,Streamlit","plotly, bokeh, altair",,Sample retail/financial datasets,"Real-time Dashboards,Collaborative Analytics,NLP-powered BI","Business Intelligence,Operations,Healthcare Monitoring",Beginner,Cross-Industry,No,High,"Business Analytics,Web Development",AcadEval Research Team,
AE-0110,Data Science,Data Preprocessing,Data Imputation,Data Preprocessing,Filling missing values in datasets using statistical and ML techniques.,"missing data,imputation,MICE,KNN imputer,mean imputation,MCAR MAR MNAR","listwise deletion,interpolation,expectation-maximization,hot-deck","Python, R","KNN Imputation,MICE,Matrix Factorization,GAIN","Python,R",scikit-learn,"missingno, fancyimpute, scikit-learn",,UCI Repository datasets with missingness,"Deep Learning Imputation,Causal Imputation","Healthcare,Finance,Social Science Research",Intermediate,Cross-Industry,No,High,"Machine Learning,Healthcare",AcadEval Research Team,
AE-0111,Data Science,A/B Testing,Statistical Experimentation,A/B Testing,Controlled experiments comparing two variants to determine which performs better.,"A/B test,experiment,control,treatment,p-value,statistical significance","hypothesis,type I error,type II error,power,sample size,uplift","Python, R","t-test,Mann-Whitney U,Chi-squared,Bootstrap","Python,R",,"scipy, pymc, causalml",,"Simulated experiment datasets,company internal datasets","Sequential Testing,Multi-armed Bandit,Causal Inference","E-commerce,SaaS Products,Healthcare Trials,Marketing",Intermediate,"Tech,Retail,Healthcare,Finance",No,High,"Business Analytics,Machine Learning",AcadEval Research Team,
AE-0112,Software Engineering,Software Design Patterns,Creational Patterns,Design Patterns,Patterns for object creation mechanisms providing flexibility and reuse.,"design pattern,singleton,factory,builder,prototype,abstract factory","GoF patterns,creational,structural,behavioral,OOP,SOLID","Java, Python, C++","Factory Method,Singleton,Builder,Prototype","Java,Python,C++",,,,Design Pattern Benchmark Codebases,"Pattern Detection,Anti-pattern Identification","Enterprise Software,Frameworks,API Design",Intermediate,Tech,No,Medium,"Web Development,AI",AcadEval Research Team,
AE-0113,Software Engineering,Software Testing,Unit Testing,Software Testing,Testing individual units of code in isolation to verify correctness.,"unit test,test case,mock,stub,coverage,assertion,TDD,BDD","pytest,JUnit,NUnit,code coverage,test isolation,AAA pattern","Python, Java, JavaScript","Mutation Testing,Property-based Testing","Python,Java,JavaScript","pytest,JUnit","pytest, coverage, hypothesis",,"Defects4J,GitHub test suites","AI-generated Tests,Flaky Test Detection,Test Prioritization",All Software Domains,Beginner,"Tech,Cross-Industry",No,High,"AI,DevOps",AcadEval Research Team,
AE-0114,Software Engineering,DevOps,CI/CD Pipelines,DevOps,Automated software delivery pipelines for continuous integration and deployment.,"CI/CD,pipeline,automation,GitHub Actions,Jenkins,deployment","build,test,deploy,artifact,rollback,GitOps,IaC,Ansible","YAML, Python, Shell","Blue-green Deployment,Canary Deployment,Rolling Update","Python,Shell","GitHub Actions,Jenkins,GitLab CI","docker, ansible, terraform",Cloud,DevOps benchmark repositories,"AI-powered CI/CD,Autonomous Remediation",All Software Products,Intermediate,"Tech,Cross-Industry",No,High,"Cloud Computing,Software Engineering",AcadEval Research Team,
AE-0115,Software Engineering,Code Analysis,Static Code Analysis,Code Analysis,"Analyzing source code for defects, vulnerabilities, and quality issues.","static analysis,linting,code quality,SAST,complexity,code smell","cyclomatic complexity,dependency analysis,dead code,duplication","Python, Java, JavaScript","AST Analysis,Data Flow Analysis,Control Flow Graph","Python,Java",SonarQube,"pylint, flake8, bandit, PMD",,"Defects4J,CodeSearchNet,BigCloneBench","AI-powered Code Review,Clone Detection,Bug Prediction","Enterprise Software,Open Source,Security Audits",Intermediate,"Tech,Security",Yes,High,"Cyber Security,AI",AcadEval Research Team,
AE-0116,Software Engineering,Software Architecture,Microservices Architecture,Software Architecture,"Decomposing applications into small, independent services communicating over APIs.","microservices,API gateway,service discovery,circuit breaker,saga","domain-driven design,REST API,event-driven,bounded context,Kubernetes","Java, Python, Go","Service Mesh,Circuit Breaker,Saga Pattern","Java,Python,Go","Spring Boot,FastAPI,gRPC","docker, kubernetes, istio",Cloud,"Microservices benchmark datasets,Alibaba microservice traces","Microservices Performance,Autonomous Decomposition","E-commerce,FinTech,Healthcare Systems",Advanced,"Tech,Finance,Healthcare",No,High,"Cloud Computing,Web Development,DevOps",AcadEval Research Team,
AE-0117,Software Engineering,Requirements Engineering,AI-assisted Requirements Analysis,Requirements Engineering,"Using NLP and AI to extract, classify, and analyze software requirements.","requirements,NLP,user story,NFR,traceability,ambiguity,classification","requirements extraction,conflict detection,specification,use case,BERT",Python,"BERT,BiLSTM,Sentence Transformers",Python,Hugging Face,"transformers, spacy",,"PROMISE dataset,Requirements datasets from GitHub","Automated Requirements Formalization,Cross-domain Transfer","Enterprise Software,Safety-critical Systems",Advanced,"Tech,Aerospace,Healthcare",Yes,High,"NLP,AI",AcadEval Research Team,
AE-0118,Web Development,Frontend Development,React.js Applications,Frontend Development,Building interactive user interfaces with the React.js component library.,"React,JSX,component,state,props,hooks,virtual DOM,SPA","Redux,Context API,React Router,Next.js,hydration,code splitting","JavaScript, TypeScript","Component Reconciliation,Virtual DOM Diffing","JavaScript,TypeScript","React.js,Next.js,Vite","axios, zustand, react-query",,"Web UI benchmark datasets,Lighthouse scores","React Server Components,Micro-frontends,PWA","E-commerce,SaaS,Dashboard Applications",Beginner,"Tech,Retail,Finance",No,High,"Software Engineering,E-Commerce",AcadEval Research Team,
AE-0119,Web Development,Backend Development,REST API Design,Backend Development,Designing and implementing RESTful APIs for web and mobile applications.,"REST,API,endpoint,HTTP,JSON,CRUD,authentication,stateless","OpenAPI,Swagger,pagination,versioning,rate limiting,JWT","Python, JavaScript, Go, Java","Resource-oriented Design,Caching,Rate Limiting","Python,JavaScript,Go","FastAPI,Express.js,Spring Boot","pydantic, swagger-ui",,"API benchmark datasets,Postman collections","GraphQL APIs,gRPC,Async APIs","Mobile Backends,IoT Backends,Enterprise APIs",Beginner,"Tech,Cross-Industry",No,High,"Software Engineering,Mobile Application Development",AcadEval Research Team,
AE-0120,Web Development,Backend Development,GraphQL,Backend Development,Query language for APIs providing flexible and efficient data fetching.,"GraphQL,query,mutation,subscription,resolver,schema,type system","Apollo,Federation,DataLoader,N+1 problem,introspection","JavaScript, Python","DataLoader Batching,Schema Stitching,Federation","JavaScript,Python","Apollo Server,Strawberry","graphql-core, strawberry",,"GitHub GraphQL,SpaceX GraphQL public APIs","Real-time GraphQL,GraphQL Security,Federation","Social Platforms,E-commerce,Mobile Apps",Intermediate,Tech,No,High,"Software Engineering,Mobile Application Development",AcadEval Research Team,
AE-0121,Web Development,Web Performance,Core Web Vitals Optimization,Web Performance,"Improving user-facing performance metrics including LCP, FID, CLS.","core web vitals,LCP,FID,CLS,performance,page speed,Lighthouse","lazy loading,image optimization,CDN,caching,code splitting,bundle","JavaScript, HTML, CSS",Critical Rendering Path Optimization,JavaScript,"Webpack,Vite","lighthouse, web-vitals",,HTTPArchive Web Almanac Dataset,"AI-powered Performance Optimization,Predictive Loading","E-commerce,Media,News Portals",Intermediate,"Tech,Retail,Media",No,High,"Software Engineering,E-Commerce",AcadEval Research Team,
AE-0122,Web Development,Web Security,OWASP Top 10 Vulnerabilities,Web Security,Addressing the most critical web application security risks.,"OWASP,XSS,CSRF,injection,broken auth,IDOR,security misconfiguration","vulnerability,penetration testing,secure coding,input validation,CSP","Python, JavaScript","Fuzzing,SAST,DAST,Penetration Testing","Python,JavaScript","Burp Suite,ZAP","bandit, safety",,"WebGoat,DVWA,BWAPP","AI-powered Vulnerability Detection,DevSecOps",All Web Applications,Intermediate,"Security,Tech",No,High,"Cyber Security,Software Engineering",AcadEval Research Team,
AE-0123,Web Development,Progressive Web Apps,Service Workers and Offline,PWA,Building web applications with native-like features using service workers.,"PWA,service worker,offline,cache,push notification,installable,manifest","background sync,IndexedDB,web push,app shell,lighthouse PWA",JavaScript,"Cache Strategies,Background Sync",JavaScript,Workbox,workbox,,"PWA benchmark datasets,Lighthouse PWA audits","PWA for Edge Computing,Cross-platform PWA","E-commerce,News,Social Apps,Healthcare",Intermediate,"Tech,Retail,Healthcare",No,Medium,"Mobile Application Development,Web Development",AcadEval Research Team,
AE-0124,Mobile Application Development,Cross-Platform Development,Flutter Applications,Cross-Platform,Building native mobile apps from a single Dart codebase using Flutter.,"Flutter,Dart,widget,cross-platform,iOS,Android,hot reload","BLoC,Provider,GetX,Riverpod,StatefulWidget,Material Design",Dart,"State Management Patterns,Widget Tree Rendering",Dart,Flutter,"dio, riverpod, go_router","iOS,Android Device",Flutter app performance benchmarks,"Flutter Web,Flutter Desktop,Adaptive UI","Consumer Apps,FinTech,Healthcare,E-commerce",Beginner,"Tech,Retail,Healthcare",No,High,"Web Development,Software Engineering",AcadEval Research Team,
AE-0125,Mobile Application Development,Android Development,Jetpack Compose,Android Development,Modern declarative UI toolkit for building native Android interfaces.,"Jetpack Compose,Android,Kotlin,composable,state,recomposition","ViewModel,Hilt,Room,Navigation,Coroutines,Flow,Material3",Kotlin,"Recomposition Optimization,State Hoisting",Kotlin,"Android Studio,Jetpack","retrofit, room, hilt",Android Device,Android app benchmark datasets,"Multiplatform Compose (KMP),Adaptive Layouts","Consumer Apps,Enterprise Apps,Smart Device Interfaces",Intermediate,"Tech,Consumer Electronics",Yes,High,"Software Engineering,Web Development",AcadEval Research Team,
AE-0126,Mobile Application Development,iOS Development,SwiftUI,iOS Development,Declarative framework for building Apple platform user interfaces with Swift.,"SwiftUI,Swift,iOS,Xcode,view,state,binding,modifier","Combine,CoreData,CoreML,WidgetKit,SwiftData,MVVM",Swift,"Declarative Rendering,Data Binding",Swift,"Xcode,SwiftUI","Alamofire, SDWebImage","iPhone,iPad",iOS app benchmark data,"App Clips,Live Activities,Vision Pro Development","Consumer Apps,HealthKit,Enterprise iOS",Intermediate,"Tech,Healthcare,Finance",Yes,High,"Software Engineering,AR/VR",AcadEval Research Team,
AE-0127,Mobile Application Development,Mobile AI,On-device ML,Mobile AI,Running machine learning models directly on mobile devices for offline intelligence.,"on-device ML,TFLite,CoreML,ONNX,quantization,mobile inference","neural engine,delegate,latency,model optimization,edge AI","Python, Swift, Kotlin","Quantization,Pruning,Knowledge Distillation","Python,Swift,Kotlin","TensorFlow Lite,CoreML",onnxruntime-mobile,Mobile Device,MLCommons Mobile Benchmark,"On-device NLP,On-device Vision,TinyML for Mobile","Camera AI,Voice Assistants,Health Apps,AR",Advanced,"Tech,Healthcare,Consumer Electronics",Yes,High,"Deep Learning,Edge AI,IoT",AcadEval Research Team,
AE-0128,Mobile Application Development,Mobile Security,App Security Testing,Mobile Security,Identifying and preventing security vulnerabilities in mobile applications.,"mobile security,OWASP Mobile Top 10,reverse engineering,APK,certificate pinning","dynamic analysis,static analysis,rooting,jailbreak,MITM,obfuscation","Python, Java","Static Analysis,Taint Analysis,Symbolic Execution","Python,Java","MobSF,Frida","mobsf, frida","Android Device,iOS Device","AndroZoo,MalDroid,iOS security datasets","AI-based Mobile Malware,Privacy Leak Detection","Banking Apps,Healthcare Apps,E-commerce Apps",Advanced,"Security,Finance,Healthcare",No,High,"Cyber Security,Mobile Application Development",AcadEval Research Team,
AE-0129,Healthcare,Clinical Decision Support,Disease Prediction,Clinical Decision Support,AI systems assisting clinicians in predicting patient disease risk.,"disease prediction,EHR,clinical ML,risk score,patient outcome","MIMIC,comorbidity,ICD codes,Charlson index,readmission",Python,"XGBoost,Random Forest,LSTM,BERT-based Clinical NLP",Python,"scikit-learn,PyTorch","pandas, hl7apy, pydicom",,"MIMIC-III,MIMIC-IV,eICU,PhysioNet","Fairness in Clinical AI,Temporal EHR Modeling","Hospital,ICU,Primary Care,Chronic Disease Management",Advanced,Healthcare,Yes,High,"Machine Learning,NLP,Data Science",AcadEval Research Team,
AE-0130,Healthcare,Drug Discovery,Molecular Property Prediction,Drug Discovery,Predicting chemical and biological properties of drug candidate molecules.,"molecular property,QSAR,SMILES,drug-like,bioavailability,toxicity","scaffold,fragment,docking,binding affinity,Lipinski rule",Python,"GNN,Random Forest,Transformer on SMILES",Python,"PyTorch Geometric,DeepChem","rdkit, deepchem",,"MoleculeNet,ChEMBL,ZINC,PubChem","Generative Molecular Design,Multi-task Drug Property Prediction","Pharmaceutical Research,Biotech,Clinical Trials",Expert,"Healthcare,Pharma",Yes,High,"Bioinformatics,Deep Learning",AcadEval Research Team,
AE-0131,Healthcare,Electronic Health Records,Clinical NLP,EHR,Extracting structured information from unstructured clinical text.,"clinical NLP,EHR,discharge summary,medical NER,ICD coding","de-identification,clinical BERT,section segmentation,phenotyping",Python,"BioBERT,ClinicalBERT,scispaCy,MetaMap",Python,"Hugging Face,spaCy","transformers, scispacy, medspacy",,"i2b2,n2c2,MIMIC-III Notes","De-identification,ICD Auto-coding,Clinical Relation Extraction","Hospital Records,Insurance,Medical Research",Advanced,Healthcare,No,High,"NLP,Deep Learning,Data Science",AcadEval Research Team,
AE-0132,Healthcare,Mental Health AI,Depression and Anxiety Detection,Mental Health AI,"Detecting mental health conditions from speech, text, and behavioral signals.","mental health,depression,anxiety,NLP,speech analysis,PHQ-9","social media mental health,sentiment,behavioral biomarker,affective computing",Python,"BERT,LSTM,Random Forest,SVM,Transformer",Python,"Hugging Face,scikit-learn","transformers, librosa, nltk",,"DAIC-WoZ,CLPsych,AVEC,Reddit Mental Health Datasets","Multimodal Mental Health,Privacy-preserving Detection","Telemedicine,Counseling Apps,Wearable Mental Health",Advanced,"Healthcare,Tech",Yes,High,"NLP,Signal Processing,Healthcare",AcadEval Research Team,
AE-0133,Healthcare,Telemedicine,Remote Patient Monitoring,Telemedicine,Using digital technologies to provide healthcare remotely through connected devices.,"telemedicine,remote monitoring,RPM,telehealth,video consult,wearable","patient portal,vital signs,asynchronous care,store-and-forward","Python, JavaScript","Time Series Analysis,Alert Algorithms","Python,JavaScript","React.js,FastAPI","pandas, scikit-learn","Wearable,IoT Sensor","Remote patient monitoring datasets,PhysioNet","AI Triage,Predictive Deterioration,Multi-modal RPM","Chronic Disease,Post-op Care,Rural Health,Elderly Care",Intermediate,"Healthcare,Tech",Yes,High,"IoT,Mobile Application Development,Signal Processing",AcadEval Research Team,
AE-0134,Healthcare,Pandemic and Epidemiology,Epidemic Spread Modeling,Epidemiology,Mathematical and ML models predicting the spread of infectious diseases.,"epidemic,SIR model,reproduction number,COVID-19,contact tracing,forecasting","compartmental model,epidemiological curve,mobility data,vaccination,R0","Python, R","SIR/SEIR,LSTM,Graph Neural Networks,Gaussian Process","Python,R",,"scipy, networkx, pymc",,"Johns Hopkins COVID-19,WHO Influenza,GLEAM","Spatial Epidemic Modeling,Wastewater Epidemiology","Public Health Policy,Healthcare Planning,Vaccine Distribution",Expert,"Government,Healthcare,Research",Yes,High,"Data Science,GIS,Machine Learning",AcadEval Research Team,
